country,fullname,points,rank,region
Canada,JEFFREY ADLER,101,1,North America
United States,SCOTT PANCHIK,141,2,North America
United States,TRAVIS MEAD,165,3,North America
United States,SAXON PANCHIK,217,4,North America
United States,RICHARD FRONING JR.,254,5,North America
United States,NOAH OHLSEN,272,6,North America
Canada,SAMUEL COURNOYER,276,7,North America
United States,COLE GREASHABER,403,8,North America
Argentina,AGUSTIN RICHELME,417,9,South America
United Kingdom,OLEG LASCENKO,428,10,Europe
Canada,CÉDRIC LAPOINTE,454,11,North America
Greece,GIORGOS KARAVIS,510,12,Europe
Russian Federation,STAS SOLODOV,548,13,Asia
Finland,JONNE KOSKI,564,14,Europe
United Kingdom,ELLIOT SIMMONDS,582,15,Europe
United States,LOGAN COLLINS,589,16,North America
Australia,JAY CROUCH,611,17,Oceania
United States,COLTEN MERTENS,621,18,North America
United States,JAYSON HOPPER,630,19,North America
Canada,PATRICK VELLNER,638,20,North America
Greece,ALEX KOTOULAS,642,21,Europe
Canada,BRENT FIKOWSKI,644,22,North America
United States,HUNTER HOLIFIELD,702,23,North America
United States,CODY ANDERSON,708,24,North America
United States,MITCH WAGNER,708,24,North America
United States,PHIL TOON,741,26,North America
Russian Federation,ALEKSANDAR ILIN,748,27,Asia
United Kingdom,JOSHUA AL-CHAMAA,749,28,Europe
Denmark,FREDERIK AEGIDIUS,749,28,Europe
United States,SPENCER PANCHIK,753,30,North America
Spain,FABIAN BENEITO,769,31,Europe
United States,SEAN GORDON,807,32,North America
Australia,KHAN PORTER,812,33,Oceania
Serbia,LAZAR ĐUKIĆ,817,34,Europe
United States,MICHAEL MCKENNA,817,34,North America
Denmark,LUKAS GROULEFF,834,36,Europe
United States,NICK MATHEW,850,37,North America
United Kingdom,REGGIE FASA,854,38,Europe
United States,TYLER CHRISTOPHEL,864,39,North America
France,LUCAS HEUZE,868,40,Europe
United States,COLE SAGER,888,41,North America
United States,BRANDON LUCKETT,889,42,North America
United States,MITCHEL STEVENSON,901,43,North America
United States,CONNOR DUDDY,951,44,North America
Canada,JOSHUA GERVAIS,959,45,North America
France,GUILLAUME BRIANT,963,46,Europe
United States,SCOTT TETLOW,1010,47,North America
United States,ANDREW HILLER,1012,48,North America
United States,TAYLOR SELF,1056,49,North America
United States,VINCENT BUTTITTA,1060,50,North America
Russian Federation,IAKOV FILIMONOV,1061,51,Asia
Venezuela,OMAR MARTINEZ,1075,52,South America
United States,TIM PAULSON,1091,53,North America
United States,JAKE BERMAN,1123,54,North America
Australia,BAYDEN BROWN,1146,55,Oceania
United States,AARON HANNA,1148,56,North America
United States,JUSTIN MEDEIROS,1156,57,North America
Denmark,ANDRÉ HOUDET,1157,58,Europe
United States,CHANDLER SMITH,1170,59,North America
United States,STREAT HOERNER,1197,60,North America
Poland,BRONISLAW OLENKOWICZ,1211,61,Europe
United States,ROGELIO GAMBOA,1248,62,North America
Russian Federation,ROMAN KHRENNIKOV,1304,63,Asia
United States,TANNER BALAZS,1311,64,North America
Canada,NYCOLAS JOYAL,1331,65,North America
China,ZHENHUA ZHOU,1336,66,Asia
Canada,ALEXANDRE CARON,1344,67,North America
United States,DANE SMITH,1374,68,North America
Canada,PETER SHAW,1406,69,North America
Ireland,SAM STEWART,1410,70,Europe
Chile,PIERO GORICHON,1416,71,South America
New Zealand,LUKE FISO,1422,72,Oceania
Iceland,BJÖRGVIN KARL GUÐMUNDSSON,1440,73,Europe
Serbia,LUKA ĐUKIĆ,1460,74,Europe
United States,LEONEL FRANCO,1467,75,North America
Sweden,VICTOR LJUNGDAL,1479,76,Europe
France,ALEXANDRE PINSOLLE,1482,77,Europe
United States,PETER MASON,1489,78,North America
United Kingdom,WILL KANE,1491,79,Europe
United States,FRANK MINERVINI,1492,80,North America
United States,DREW WAYMAN,1538,81,North America
United States,DYLAN PETTIT,1548,82,North America
South Africa,KEALAN HENRY,1554,83,Africa
Brazil,GUILHERME MALHEIROS,1569,84,South America
Iceland,HARALDUR HOLGERSSON,1599,85,Europe
United States,JOSH WORKMAN,1604,86,North America
Egypt,MOHAMED ELOMDA,1616,87,Africa
Germany,FELIX REHDER,1646,88,Europe
New Zealand,LUKE FOWLER,1662,89,Oceania
Canada,TYLER LEE,1686,90,North America
United States,JAKE MARCONI,1699,91,North America
United States,CHRISTOPHER SHIMLEY,1701,92,North America
France,FELLONNEAU ROMAIN,1708,93,Europe
United States,DYLAN MARTIN,1716,94,North America
United States,DALLIN PEPPER,1721,95,North America
United States,TRAVIS MAYER,1731,96,North America
United States,DALTON MANKIN,1749,97,North America
United States,REILLY GOOD,1810,98,North America
Latvia,ULDIS UPENIEKS,1833,99,Europe
Australia,MATT MCLEOD,1834,100,Oceania
Spain,DANIEL CAMACHO,1846,101,Europe
United States,MARK HUTCHINSON,1855,102,North America
Spain,ANIOL EKAI,1861,103,Europe
Australia,EVAN MORRIS,1866,104,Oceania
United States,PHILLIP MUSCARELLA,1876,105,North America
United States,KYLE BERNIER,1908,106,North America
United States,JOE PIERRO,1914,107,North America
Slovakia,MATÚŠ KOČAR,1938,108,Europe
Brazil,PEDRO MARTINS,1946,109,South America
Spain,DAMI MARTÍNEZ,1947,110,Europe
United States,BLAIR CHAPMAN,1965,111,North America
United States,TROY KOPP,1975,112,North America
Russian Federation,DENIS ZALOZNIY,1988,113,Asia
Portugal,TIAGO LUZES,1990,114,Europe
Chile,BENJAMIN GUTIERREZ,2045,115,South America
United States,ERIC EVANS,2047,116,North America
Australia,ZEKE GROVE,2107,117,Oceania
Canada,ALEX VIGNEAULT,2113,118,North America
Belarus,NIKITA YUNDOV,2132,119,Europe
France,ANTOINE TAMI,2133,120,Europe
Poland,PIOTR MIELCZAREK,2137,121,Europe
United States,AUSTIN SPENCER,2137,121,North America
Australia,ROB FORTE,2141,123,Oceania
Venezuela,GUSTAVO ERRICO,2144,124,South America
Canada,KYLE CANT,2159,125,North America
Australia,HAYDEN LAVANDA,2165,126,Oceania
Poland,PIOTR SZCZYCINSKI,2170,127,Europe
Brazil,ANDERON PRIMO,2197,128,South America
Germany,JOSHUA WICHTRUP,2197,128,Europe
Sweden,OSCAR NEVERMANN,2212,130,Europe
United States,HAL FISHER,2213,131,North America
Brazil,KAIQUE CERVENY,2217,132,South America
France,CLINT KOHL,2228,133,Europe
Sweden,VIKTOR LANGSVED,2267,134,Europe
France,ELIOTT GENIN,2268,135,Europe
Colombia,JULIAN SERNA,2290,136,South America
Finland,HENRIK HAAPALAINEN,2301,137,Europe
United States,KYLE KASPERBAUER,2309,138,North America
Austria,VICTOR SCHROEDER,2310,139,Europe
Russian Federation,IVAN KUKARTSEV,2317,140,Asia
United States,AUSTIN NEDELCOFF,2318,141,North America
Italy,LA ROBINA MICHELE,2327,142,Europe
United States,ERIC CARMODY,2329,143,North America
Canada,STEVE BRISCOE,2331,144,North America
United States,JEFF PATZER,2337,145,North America
United States,TRAVON BENTON,2344,146,North America
Mexico,NATANAEL PEREZ,2349,147,North America
Canada,DAVID CYR-MARANDA,2357,148,North America
Germany,HENDRIK SENF,2360,149,Europe
United States,JAMES MCLAUGHLAN,2397,150,North America
United States,COLBY THOMASON,2413,151,North America
Iceland,SIGURDUR JONSSON,2416,152,Europe
Sweden,SIMON MANTYLA,2453,153,Europe
United States,DAN BAILEY,2470,154,North America
United States,JASON CARROLL,2474,155,North America
United States,KEVIN STEINHAUS,2483,156,North America
United States,SEAN SWEENEY,2486,157,North America
Poland,PAWEL KOZAK,2497,158,Europe
United States,NIKLAS HECHT,2540,159,North America
Poland,MICHAL WESOLOWSKI,2570,160,Europe
Brazil,PABLO CHALFUN,2593,161,South America
Germany,MAXIMILIAN HENZE,2596,162,Europe
Italy,PIETRO ANDERLONI,2629,163,Europe
United States,JACOB PFAFF,2634,164,North America
Colombia,GIOVANNI OCAMPO,2634,164,South America
New Zealand,BEN FOWLER,2654,166,Oceania
Canada,STEPHEN JONES,2655,167,North America
Australia,ADAM MANSY,2659,168,Oceania
United States,ANGEL RODRIGUEZ,2660,169,North America
"Korea, Republic of",JOSHUA HONG,2671,170,Asia
United States,JAMES SPRAGUE,2672,171,North America
